trackingID,sessionID,userID,timestamp,latitud,longitud,accuracy,speed,heading,altitude
64,2a00ae60-fcdd-4b8b-836e-465ab62f3d24,11,2026-06-03T07:28:16.761Z,43.071724,-2.473199,111.000,,,
65,2a00ae60-fcdd-4b8b-836e-465ab62f3d24,11,2026-06-03T07:29:22.894Z,43.048990,-2.497566,213.000,,,
66,2a00ae60-fcdd-4b8b-836e-465ab62f3d24,11,2026-06-03T07:30:21.651Z,43.049254,-2.497249,115.000,,,
67,2a00ae60-fcdd-4b8b-836e-465ab62f3d24,11,2026-06-03T07:31:21.274Z,43.049228,-2.497273,124.000,,,
67,2a00ae60-fcdd-4b8b-836e-465ab62f3d24,11,2026-06-03T07:31:21.274Z,43.049228,-2.497273,124.000,,,
68,b6369649-50aa-4a33-aba6-c5bfd5989a88,1,2026-06-03T09:34:57.457Z,43.062045,-2.505971,61.000,,,
69,b6369649-50aa-4a33-aba6-c5bfd5989a88,1,2026-06-03T09:35:01.017Z,43.062045,-2.505971,61.000,,,
70,1234c9ed-bbcb-42bf-86c4-61cf6684245c,12,2026-06-03T09:52:21.435Z,43.062082,-2.506037,63.000,,,
71,1234c9ed-bbcb-42bf-86c4-61cf6684245c,12,2026-06-03T09:53:08.909Z,43.062082,-2.506037,63.000,,,
72,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T09:56:07.503Z,43.062082,-2.506037,63.000,,,
73,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T09:57:07.997Z,43.062082,-2.506037,63.000,,,
74,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T09:58:08.014Z,43.062082,-2.506037,63.000,,,
75,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T09:59:08.005Z,43.062082,-2.506037,63.000,,,
76,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T10:00:07.981Z,43.062082,-2.506037,63.000,,,
77,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T10:01:08.027Z,43.062082,-2.506037,63.000,,,
78,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T10:02:08.023Z,43.062082,-2.506037,63.000,,,
79,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T10:03:08.039Z,43.062082,-2.506037,63.000,,,
80,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T10:04:36.005Z,43.062082,-2.506037,63.000,,,
81,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T10:05:34.252Z,43.062082,-2.506037,63.000,,,
82,74440248-29c7-4457-9463-37147dd78fe6,12,2026-06-03T10:07:10.834Z,43.062000,-2.505942,62.000,,,
83,fbba359c-a3fc-4214-95ff-c52cfb5a8c6c,12,2026-06-03T10:07:41.215Z,43.062143,-2.506049,61.000,,,
84,fbba359c-a3fc-4214-95ff-c52cfb5a8c6c,12,2026-06-03T10:08:41.482Z,43.062168,-2.506052,61.000,,,
85,fbba359c-a3fc-4214-95ff-c52cfb5a8c6c,12,2026-06-03T10:09:41.435Z,43.062168,-2.506052,61.000,,,
86,fbba359c-a3fc-4214-95ff-c52cfb5a8c6c,12,2026-06-03T10:10:24.255Z,43.062168,-2.506052,61.000,,,
87,be90ab7c-fcc1-4978-a588-aa7546d55d7d,1,2026-06-03T10:23:21.906Z,43.062168,-2.506052,61.000,,,
88,be90ab7c-fcc1-4978-a588-aa7546d55d7d,1,2026-06-03T10:23:46.722Z,43.062068,-2.505999,62.000,,,
89,be90ab7c-fcc1-4978-a588-aa7546d55d7d,1,2026-06-03T10:24:06.733Z,43.062174,-2.506052,61.000,,,
90,be90ab7c-fcc1-4978-a588-aa7546d55d7d,1,2026-06-03T10:24:26.739Z,43.062039,-2.505957,62.000,,,
91,be90ab7c-fcc1-4978-a588-aa7546d55d7d,1,2026-06-03T10:24:46.795Z,43.062023,-2.505981,61.000,,,
92,be90ab7c-fcc1-4978-a588-aa7546d55d7d,1,2026-06-03T10:25:06.328Z,43.062042,-2.505982,61.000,,,
93,be90ab7c-fcc1-4978-a588-aa7546d55d7d,1,2026-06-03T10:25:26.618Z,43.062048,-2.505985,61.000,,,
93,be90ab7c-fcc1-4978-a588-aa7546d55d7d,1,2026-06-03T10:25:26.618Z,43.062048,-2.505985,61.000,,,
94,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:54:00.008Z,43.062450,-2.506135,55.000,,,
95,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:54:20.517Z,43.062450,-2.506135,55.000,,,
96,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:54:40.672Z,43.062398,-2.506166,55.000,,,
97,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:55:00.498Z,43.062398,-2.506166,55.000,,,
98,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:55:24.838Z,43.061959,-2.504908,212.000,,,
99,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:55:47.662Z,43.060791,-2.501695,20.000,,,
100,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:56:00.485Z,43.060791,-2.501695,20.000,,,
101,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:56:26.521Z,43.061609,-2.497542,90.000,,,
102,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:56:40.709Z,43.061605,-2.497585,90.000,,,
103,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:57:00.458Z,43.061605,-2.497585,90.000,,,
104,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:57:26.752Z,43.061287,-2.494698,28.000,,,
105,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:57:45.081Z,43.061014,-2.494503,500.000,,,
106,a5394f5f-4373-4417-bd7e-326be692a585,12,2026-06-03T10:57:47.491Z,43.061014,-2.494503,500.000,,,
107,7a532a9e-963a-483e-aaec-41e99c8a1117,8,2026-06-04T10:03:01.528Z,43.061943,-2.505927,56.000,,,
108,7a532a9e-963a-483e-aaec-41e99c8a1117,8,2026-06-04T10:03:19.081Z,43.061959,-2.505905,63.000,,,
