stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:Quay:2654_Plataforma_Q2:,,Gaintxurizketa-Lezo,,Carretera Madrid-Irún / Lezo,43.326637,-1.857836,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2654:,,2,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2655_Plataforma_Q1:,,Zaldibar,,"Barrio de Okango, 31 / Zaldibar",43.171629,-2.548298,ES:Euskotren:Zone:7:,,0,ES:Euskotren:StopPlace:2655:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2656_Plataforma_Q1:,,Ardantza-Eibar,,Plaza Untzaga / Eibar,43.184739,-2.473875,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2656:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2656_Plataforma_Q2:,,Ardantza-Eibar,,Plaza Untzaga / Eibar,43.184739,-2.473875,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2656:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2657_Plataforma_Q1:,,Zugaztieta-Muxika,,"Barrio de Zugastieta, 25 / Muxika",43.252165,-2.692708,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2657:,,0,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2657_Plataforma_Q2:,,Zugaztieta-Muxika,,"Barrio de Zugastieta, 25 / Muxika",43.252146,-2.692743,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2657:,,0,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2658_Plataforma_Q1:,,Toletxegain-Elgoibar,,"Av de Pedro Muguruza, 6-8 / Elgoibar",43.217788,-2.408536,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2658:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2660_Plataforma_Q1:,,San Kristobal-Busturia,,"Barrio de Altamira, 9 / Busturia",43.367768,-2.690299,ES:Euskotren:Zone:8:,,0,ES:Euskotren:StopPlace:2660:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2661_Plataforma_Q1:,,Usansolo,,"Calle de Oletxe, 48 / Usansolo",43.217648,-2.821493,ES:Euskotren:Zone:4:,,0,ES:Euskotren:StopPlace:2661:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2661_Plataforma_Q2:,,Usansolo,,"Calle de Oletxe, 48 / Usansolo",43.21762,-2.821632,ES:Euskotren:Zone:4:,,0,ES:Euskotren:StopPlace:2661:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2663_Plataforma_Q1:,,Otxarkoaga-Bilbao,,Avda. Pau Casals / Bilbao,43.259593,-2.90015,ES:Euskotren:Zone:3:,,0,ES:Euskotren:StopPlace:2663:,,1,ES:Euskotren:Level:Level:Minus2:,
ES:Euskotren:Quay:2663_Plataforma_Q2:,,Otxarkoaga-Bilbao,,Avda. Pau Casals / Bilbao,43.259593,-2.90015,ES:Euskotren:Zone:3:,,0,ES:Euskotren:StopPlace:2663:,,1,ES:Euskotren:Level:Level:Minus2:,
ES:Euskotren:Quay:2664_Plataforma_Q1:,,Zarautz,,"Calle de Lapurdi, 2, bajo / Zarautz",43.284259,-2.171231,ES:Euskotren:Zone:41:,,0,ES:Euskotren:StopPlace:2664:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2664_Plataforma_Q2:,,Zarautz,,"Calle de Lapurdi, 2, bajo / Zarautz",43.284198,-2.171311,ES:Euskotren:Zone:41:,,0,ES:Euskotren:StopPlace:2664:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2665_Plataforma_Q1:,,Errenteria,,"Avda. Pablo Iglesias, 16 / Errenteria",43.311104,-1.899056,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2665:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2665_Plataforma_Q2:,,Errenteria,,"Avda. Pablo Iglesias, 16 / Errenteria",43.311137,-1.89898,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2665:,,1,ES:Euskotren:Level:Level:0:,
ES:Euskotren:Quay:2666_Plataforma_Q1:,,Ermua,,"Calle Izelaieta, 21 / Ermua",43.184646,-2.501193,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2666:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2666_Plataforma_Q2:,,Ermua,,"Calle Izelaieta, 21 / Ermua",43.184646,-2.501193,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2666:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2667_Plataforma_Q1:,,Pasaia,,"Zumalakarregi kalea, 8 / Pasaia",43.318118,-1.917572,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2667:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2667_Plataforma_Q2:,,Pasaia,,"Zumalakarregi kalea, 8 / Pasaia",43.318066,-1.917609,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2667:,,1,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2669_Plataforma_Q1:,,Hegoalde,,Plaza de las Hebillas / Vitoria-Gasteiz,42.838825,-2.666329,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2669:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2669_Plataforma_Q2:,,Hegoalde,,Plaza de las Hebillas / Vitoria-Gasteiz,42.838825,-2.666329,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2669:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2670_Plataforma_Q1:,,Florida,,"C/Florida, 76 / Vitoria-Gasteiz",42.842071,-2.665088,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2670:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2670_Plataforma_Q2:,,Florida,,"C/Florida, 76 / Vitoria-Gasteiz",42.842071,-2.665088,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2670:,,0,ES:Euskotren:Level:Level:1:,
ES:Euskotren:Quay:2671_Plataforma_Q1:,,Unibertsitatea,,"C/ Martinez Aragón, 13 / Vitoria-Gasteiz",42.837364,-2.67243,ES:Euskotren:Zone:70:,,0,ES:Euskotren:StopPlace:2671:,,0,ES:Euskotren:Level:Level:1:,
