stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
269,48036022,JUAN BAUTISTA URIARTE 24 (269),,43.2300454994638,-2.84522512428221,2,,0,,Europe/Madrid,1,0,
270,48036024,UDALETXEA/AYUNTAMIENTO (270),,43.2307862257723,-2.84030961712574,2,,0,,Europe/Madrid,0,0,
271,48065011,BARRENA KALEA (271),,43.1819964038919,-2.90381133768107,3,,0,,Europe/Madrid,1,0,
272,48011013,AIXARTE BEKOA (IKASTOLA) (272),,43.2042922902371,-2.89262067140778,2,,0,,Europe/Madrid,1,0,
273,48011014,SEVERO OCHOA 13 (CAJA LABORAL) (273),,43.2070240111043,-2.88668241675584,2,,0,,Europe/Madrid,1,0,
274,48011015,SEVERO OCHOA  (KIROLDEGIA/POLIDEPORTIVO) (274),,43.2099314705723,-2.88659406048189,2,,0,,Europe/Madrid,1,0,
275,48011016,LEPANTO  (LANBARKETA) (275),,43.2130504696059,-2.88909646287699,2,,0,,Europe/Madrid,0,0,
276,48015008,GERNIKA 53 (SAN MIGUEL) (276),,43.2185052163476,-2.88691959515032,2,,0,,Europe/Madrid,1,0,
277,48015009,GERNIKA 5 (ABARO) (277),,43.2240348145633,-2.88853808348335,2,,0,,Europe/Madrid,1,0,
278,48015001,ARTUNDUAGA (KIROLDEGIA/POLIDEPORTIVO) (278),,43.2331955157002,-2.88164585017431,2,,0,,Europe/Madrid,1,0,
279,48015021,AGIRRE LEHENDAKARIA 73 (ARIZ DORRETXEA) (279),,43.236135154107,-2.88134445527078,2,,0,,Europe/Madrid,0,0,
280,48015033,AGIRRE LEHENDAKARIA (SAN JOSÉ IKASTETXEA) (280),,43.2372978476801,-2.88685984874654,2,,0,,Europe/Madrid,1,0,
281,48015011,KAREAGA GOIKOA 111 (UDALETXEA/AYUNTAMIENTO) (281),,43.2356541928511,-2.8911980691472,2,,0,,Europe/Madrid,1,0,
282,48015012,KAREAGA GOIKOA 79 (BURRITOS) (282),,43.2379085221478,-2.8945625676784,2,,0,,Europe/Madrid,1,0,
283,48015013,KAREAGA GOIKOA 11 (EL CALERO) (283),,43.2388472939099,-2.89787162264113,2,,0,,Europe/Madrid,1,0,
284,48029014,ZUBIALDEA (EL BOQUETE) (284),,43.2443906792495,-2.90421825027865,2,,0,,Europe/Madrid,0,0,
285,48020140,METRO BOLUETA (285),,43.2471209655369,-2.90646819601949,1,,0,,Europe/Madrid,0,0,
290,48020100,METRO BOLUETA (290),,43.2466345510418,-2.90627185122154,1,,0,,Europe/Madrid,0,0,
291,48015024,ZUBIALDEA (EL BOQUETE) (291),,43.2439587193687,-2.90378399523639,2,,0,,Europe/Madrid,0,0,
292,48015003,KAREAGA GOIKOA 12 (EL CALERO) (292),,43.2384961988095,-2.89716647795174,2,,0,,Europe/Madrid,1,0,
293,48015004,KAREAGA GOIKOA 26 (BURRITOS) (293),,43.2376831944278,-2.89433510538551,2,,0,,Europe/Madrid,0,0,
294,48015005,KAREAGA GOIKOA 52 (UDALETXEA/AYUNTAMIENTO) (294),,43.2353526956666,-2.89136733186299,2,,0,,Europe/Madrid,1,0,
295,48015014,NAGUSIA (BEGIRATOKIA/MIRADOR) (295),,43.2354621725624,-2.88816872094307,2,,0,,Europe/Madrid,0,0,
296,48015015,AGIRRE LEHENDAKARIA 76 (ARIZ DORRETXEA) (296),,43.2360453419416,-2.88157124263191,2,,0,,Europe/Madrid,1,0,
297,48015002,ARTUNDUAGA (KIROLDEGIA/POLIDEPORTIVO) (297),,43.2334916090846,-2.88140254035717,2,,0,,Europe/Madrid,1,0,
298,48015006,GERNIKA 8 (ABARO) (298),,43.2235856075633,-2.88867090173754,2,,0,,Europe/Madrid,0,0,
299,48015007,GERNIKA 46 (SAN MIGUEL) (299),,43.2193702285936,-2.88748437497311,2,,0,,Europe/Madrid,1,0,
300,48011001,LEPANTO (LANBARKETA) (300),,43.212735494575,-2.88929401342571,2,,0,,Europe/Madrid,1,0,
301,48011002,URGOITI (GELTOKIA/ESTACIÓN) (301),,43.2101322156615,-2.8882709003036,2,,0,,Europe/Madrid,0,0,
302,48011003,URGOITI (ANBULATORIOA) (302),,43.2077816585908,-2.88794896917033,2,,0,,Europe/Madrid,1,0,
303,48011004,AIXARTE BEKOA (IKASTOLA) (303),,43.2043823955078,-2.89268206116345,2,,0,,Europe/Madrid,1,0,
305,48020002,ZABALBURU (AUTONOMÍA 4) (305),,43.2573977902076,-2.93514222498991,1,,0,,Europe/Madrid,1,0,
306,48020003,AUTONOMÍA 20 (306),,43.2575253937742,-2.93791414782263,1,,0,,Europe/Madrid,1,0,
307,48020004,LA CASILLA (AUTONOMIA 50) (307),,43.2577891164216,-2.9428789656898,1,,0,,Europe/Madrid,1,0,
